HOLE_ID,DEPTH,FROM,TO,LAYER,Ni,Fe,MgO,SiO2,,,HOLE_ID,,,,,,TRUE
ITB_A1,24,0,1,LIM,0.77,40.99,4.27,7.99,,,ITB_A1,,,,,,
ITB_A1,,1,2,LIM,0.84,42.22,2.2,7.41,,,,,,,,,
ITB_A1,,2,3,LIM,0.72,40.1,5.21,8.36,,,,,,,,,
ITB_A1,,3,4,LIM,0.89,38.23,6.03,10.68,,,,,,,,,
ITB_A1,,4,5,LIM,0.87,40.26,5.24,8.76,,,,,,,,,
ITB_A1,,5,6,LIM,0.98,40.47,4.46,7.37,,,,,,,,,
ITB_A1,,6,7,LIM,1.29,40.01,4.25,9.35,,,,,,,,,
ITB_A1,,7,8,LIM,1.42,40.11,4.21,11.14,,,,,,,,,
ITB_A1,,8,9,LIM,0.98,28.14,7.98,26.27,,,,,,,,,
ITB_A1,,9,10,SAP,0.81,6.71,36.12,38.37,,,,,,,,,
ITB_A1,,10,10.54,SAP,0.77,6.92,36.06,39.17,,,,,,,,,
ITB_A1,,10.54,11,SAP,0.85,14.9,16.13,39.41,,,,,,,,,
ITB_A1,,11,12,SAP,0.36,6.17,36.43,40.45,,,,,,,,,
ITB_A1,,12,13,SAP,1.09,18.71,12.84,37.28,,,,,,,,,
ITB_A1,,13,14,SAP,0.78,6.07,36.6,40.3,,,,,,,,,
ITB_A1,,14,15,SAP,0.75,6.04,37.48,40.05,,,,,,,,,
ITB_A1,,15,15.39,SAP,1.78,23.95,7.47,35.64,,,,,,,,,
ITB_A1,,15.39,16,SAP,0.46,7.72,33.74,40.87,,,,,,,,,
ITB_A1,,16,17,BRK,0.34,6.01,36.93,39.74,,,,,,,,,
ITB_A1,,17,18,BRK,0.33,5.89,36.59,41.52,,,,,,,,,
ITB_A1,,18,19,BRK,0,0,0,0,,,,,,,,,
ITB_A1,,19,20,BRK,0,0,0,0,,,,,,,,,
ITB_A1,,20,21,BRK,0,0,0,0,,,,,,,,,
ITB_A1,,21,22,BRK,0,0,0,0,,,,,,,,,
ITB_A1,,22,23,BRK,0,0,0,0,,,,,,,,,
ITB_A1,,23,24,BRK,0,0,0,0,,,,,,,,,
ITB_A2,15.5,0,1,LIM,0.38,37.52,3.55,14.19,,,ITB_A2,,,,,,
ITB_A2,,1,2,LIM,0.93,42.39,3.38,13.82,,,,,,,,,
ITB_A2,,2,3,LIM,0.71,41.05,3.29,13.36,,,,,,,,,
ITB_A2,,3,4,LIM,0.82,39.33,5.76,16.97,,,,,,,,,
ITB_A2,,4,5,LIM,0.24,5.55,51,37.45,,,,,,,,,
ITB_A2,,5,6,LIM,0.22,5.59,47.77,35.72,,,,,,,,,
ITB_A2,,6,7,LIM,1.1,43.44,3.2,13,,,,,,,,,
ITB_A2,,7,8,LIM,1.38,37.94,10.81,21.87,,,,,,,,,
ITB_A2,,8,9,LIM,0.9,29.93,14.94,27.88,,,,,,,,,
ITB_A2,,9,9.3,LIM,0.85,28.44,14.57,27.77,,,,,,,,,
ITB_A2,,9.3,10,LIM,0.2,4.76,41.59,38.91,,,,,,,,,
ITB_A2,,10,11,LIM,1.62,22.32,12.33,32.87,,,,,,,,,
ITB_A2,,11,12,LIM,0.22,6.74,39.67,37.58,,,,,,,,,
ITB_A2,,12,12.5,LIM,0.98,39.03,4.65,17.48,,,,,,,,,
ITB_A2,,12.5,13,BRK,0.22,5.8,43.74,36.54,,,,,,,,,
ITB_A2,,13,14,BRK,0,0,0,0,,,,,,,,,
ITB_A2,,14,15,BRK,0,0,0,0,,,,,,,,,
ITB_A2,,15,15.5,BRK,0,0,0,0,,,,,,,,,
ITB_A3,30,0,1,LIM,0.91,44.38,2.97,5.37,,,ITB_A3,,,,,,
ITB_A3,,1,2,LIM,0.91,44.4,3.09,5.46,,,,,,,,,
ITB_A3,,2,3,LIM,0.87,44.25,2.85,5.68,,,,,,,,,
ITB_A3,,3,4,LIM,0.94,42.97,3.34,6.98,,,,,,,,,
ITB_A3,,4,5,LIM,1,39.15,3.96,12.83,,,,,,,,,
ITB_A3,,5,6,LIM,1,33.58,7.21,18.5,,,,,,,,,
ITB_A3,,6,7,LIM,0.94,32.9,6.32,18.15,,,,,,,,,
ITB_A3,,7,8,LIM,0.93,33.7,5.95,17.53,,,,,,,,,
ITB_A3,,8,9,LIM,0.91,33.41,5.59,17.42,,,,,,,,,
ITB_A3,,9,10,LIM,0.93,33.86,4.55,18.21,,,,,,,,,
ITB_A3,,10,11,LIM,1,42.87,3.14,6.74,,,,,,,,,
ITB_A3,,11,12,SAP,1.2,30.82,7.05,23.37,,,,,,,,,
ITB_A3,,12,13,SAP,1.2,23.18,12.06,31.54,,,,,,,,,
ITB_A3,,13,14,SAP,0.99,17.14,20.77,33.04,,,,,,,,,
ITB_A3,,14,15,SAP,1.01,20.62,17.03,31.13,,,,,,,,,
ITB_A3,,15,15.35,SAP,0.51,8.98,32.07,41.08,,,,,,,,,
ITB_A3,,15.35,16,SAP,0.96,14.9,21.1,40.43,,,,,,,,,
ITB_A3,,16,17,SAP,1.39,17.28,17.97,41.02,,,,,,,,,
ITB_A3,,17,17.25,SAP,0.91,0.51,25.99,38.75,,,,,,,,,
ITB_A3,,17.25,18,SAP,0.31,7.2,34.12,43.05,,,,,,,,,
ITB_A3,,18,18.8,SAP,0.38,6.77,36.4,40.68,,,,,,,,,
ITB_A3,,18.8,19,SAP,0.92,34.83,5.81,15.05,,,,,,,,,
ITB_A3,,19,20,SAP,0.92,34.83,5.81,15.05,,,,,,,,,
ITB_A3,,20,20.35,SAP,0.82,7.64,29.68,43.58,,,,,,,,,
ITB_A3,,20.35,21,SAP,1.14,10.72,26.12,43.05,,,,,,,,,
ITB_A3,,21,22,SAP,1.19,10.04,29.56,43.85,,,,,,,,,
ITB_A3,,22,23,SAP,1.27,11.6,27.25,42.59,,,,,,,,,
ITB_A3,,23,23.3,SAP,1.27,11.6,27.25,42.59,,,,,,,,,
ITB_A3,,23.3,24,SAP,1.37,19.77,16.21,37.71,,,,,,,,,
ITB_A3,,24,24.45,SAP,1.51,17.69,16.79,39.8,,,,,,,,,
ITB_A3,,24.45,25,SAP,0.52,5.97,36.09,43.78,,,,,,,,,
ITB_A3,,25,26,SAP,0.54,6.42,36.98,42,,,,,,,,,
ITB_A3,,26,26.45,SAP,0.97,10.46,28.09,43.89,,,,,,,,,
ITB_A3,,26.45,27,BRK,0.37,7.12,34.87,42.63,,,,,,,,,
ITB_A3,,27,28,BRK,0.48,6.69,35.12,39.38,,,,,,,,,
ITB_A3,,28,29,BRK,0.43,6.37,36.05,44.87,,,,,,,,,
ITB_A3,,29,30,BRK,0.31,7.41,35.49,43.67,,,,,,,,,
ITB_A4,24,0,1,LIM,1.07,45.01,1.27,6.57,,,ITB_A4,,,,,,
ITB_A4,,1,2,LIM,1,44.03,2.07,6.77,,,,,,,,,
ITB_A4,,2,3,LIM,0.87,43.24,1.12,6.52,,,,,,,,,
ITB_A4,,3,4,LIM,1.08,43.08,3.06,6.66,,,,,,,,,
ITB_A4,,4,5,LIM,1.35,43.39,1.15,7.08,,,,,,,,,
ITB_A4,,5,6,LIM,1.35,45.76,1.01,8.28,,,,,,,,,
ITB_A4,,6,7,LIM,1.37,35.63,3.56,14.75,,,,,,,,,
ITB_A4,,7,8,LIM,1.37,35.88,3.97,17.31,,,,,,,,,
ITB_A4,,8,8.4,LIM,0.47,35.05,4.05,20,,,,,,,,,
ITB_A4,,8.4,9,SAP,0.45,6.67,36.16,41.33,,,,,,,,,
ITB_A4,,9,10,SAP,2.05,29.84,5.22,27.25,,,,,,,,,
ITB_A4,,10,11,SAP,1.87,27.49,5.45,27.67,,,,,,,,,
ITB_A4,,11,12,SAP,1.77,22.09,11.65,34.59,,,,,,,,,
ITB_A4,,12,12.5,SAP,1.88,25.41,8.02,32.87,,,,,,,,,
ITB_A4,,12.5,13,SAP,2.23,22.56,10.25,34.88,,,,,,,,,
ITB_A4,,13,14,SAP,2.01,14.93,21.2,41.64,,,,,,,,,
ITB_A4,,14,14.3,SAP,1.58,9.84,28.6,41.99,,,,,,,,,
ITB_A4,,14.3,15,SAP,0.54,6.71,35.38,42.53,,,,,,,,,
ITB_A4,,15,16,SAP,0.45,7.02,37.72,39.6,,,,,,,,,
ITB_A4,,16,17,SAP,0.65,7,35.34,40.21,,,,,,,,,
ITB_A4,,17,18,SAP,1.18,18.13,14.86,41.46,,,,,,,,,
ITB_A4,,18,19,SAP,1.52,22.49,10.18,37.76,,,,,,,,,
ITB_A4,,19,20,SAP,1.45,16.18,18.77,39.12,,,,,,,,,
ITB_A4,,20,21,SAP,0.72,7.88,32.6,43.52,,,,,,,,,
ITB_A4,,21,22,BRK,0.66,6.32,31.97,47.81,,,,,,,,,
ITB_A4,,22,23,BRK,0.39,6.49,37,41.36,,,,,,,,,
ITB_A4,,23,24,BRK,0,0,0,0,,,,,,,,,
ITB_A7,29,0,1,LIM,0.9,38.08,2.36,11.85,,,ITB_A7,,,,,,
ITB_A7,,1,1.5,LIM,1.01,41.13,1.76,11.42,,,,,,,,,
ITB_A7,,1.5,2,LIM,1.14,34.85,6.12,18.89,,,,,,,,,
ITB_A7,,2,3,LIM,1.06,39.85,2.34,12.26,,,,,,,,,
ITB_A7,,3,4,LIM,0.84,35.82,4.38,15.53,,,,,,,,,
ITB_A7,,4,4.4,LIM,0.91,15.95,22.01,39.53,,,,,,,,,
ITB_A7,,4.4,4.7,LIM,0.52,6.9,40.19,42.11,,,,,,,,,
ITB_A7,,4.7,5,LIM,1.65,29,8.75,29.36,,,,,,,,,
ITB_A7,,5,5.3,LIM,0.34,7.1,37.5,42.97,,,,,,,,,
ITB_A7,,5.3,5.5,LIM,1.15,24.56,11.32,31.08,,,,,,,,,
ITB_A7,,5.5,6,LIM,0.3,6.18,39.4,40.71,,,,,,,,,
ITB_A7,,6,7,LIM,0.44,6.98,38.31,42.1,,,,,,,,,
ITB_A7,,7,8,LIM,0.45,7.32,37.21,41.25,,,,,,,,,
ITB_A7,,8,8.6,LIM,1.22,6.83,40.23,40.7,,,,,,,,,
ITB_A7,,8.6,9,LIM,1.46,22.81,13.88,33.04,,,,,,,,,
ITB_A7,,9,9.25,LIM,1.38,29.91,8.4,25.69,,,,,,,,,
ITB_A7,,9.25,10,LIM,0.29,6.03,40.4,41.2,,,,,,,,,
ITB_A7,,10,11,LIM,0.34,6.74,42.19,40.65,,,,,,,,,
ITB_A7,,11,12,LIM,0.25,5.92,42.87,40.4,,,,,,,,,
ITB_A7,,12,12.3,SAP,0.49,6.67,40.38,42.02,,,,,,,,,
ITB_A7,,12.3,13,SAP,1.91,16.8,20.06,35.62,,,,,,,,,
ITB_A7,,13,14,SAP,1.76,11.42,25.04,39.37,,,,,,,,,
ITB_A7,,14,15,SAP,2.07,18.74,17.04,37.47,,,,,,,,,
ITB_A7,,15,15.65,SAP,1.94,17.6,18.9,39.36,,,,,,,,,
ITB_A7,,15.65,16,SAP,1.36,7.13,33.88,41.46,,,,,,,,,
ITB_A7,,16,17,SAP,1.64,8.46,31.27,40.71,,,,,,,,,
ITB_A7,,17,18,SAP,2.7,22.88,12.39,37.21,,,,,,,,,
ITB_A7,,18,18.5,SAP,2.57,17.65,14.64,38.1,,,,,,,,,
ITB_A7,,18.5,19,SAP,1.25,6.25,39.37,41.65,,,,,,,,,
ITB_A7,,19,20,SAP,0.7,7.93,37.89,40.3,,,,,,,,,
ITB_A7,,20,21,SAP,1.23,5.64,41.64,40.9,,,,,,,,,
ITB_A7,,21,22,SAP,1.24,5.81,40.78,38.06,,,,,,,,,
ITB_A7,,22,22.4,SAP,1.28,5.81,40.65,41.39,,,,,,,,,
ITB_A7,,22.4,23.7,SAP,1.75,15.94,18.78,39.93,,,,,,,,,
ITB_A7,,23.7,24,SAP,2.79,22.35,12.45,34.32,,,,,,,,,
ITB_A7,,24,25,BRK,0.36,6.57,39.71,42.39,,,,,,,,,
ITB_A7,,25,26,BRK,0.34,6.68,39.35,41.91,,,,,,,,,
ITB_A7,,26,27,BRK,1.41,15.18,20.56,40.9,,,,,,,,,
ITB_A7,,27,28,BRK,0.47,7.03,40.75,41.07,,,,,,,,,
ITB_A7,,28,29,BRK,0,0,0,0,,,,,,,,,
ITB_A7D,29,0,1,LIM,0.9,38.08,2.36,11.85,,,ITB_A7D,,,,,,
ITB_A7D,,1,1.5,LIM,1.01,41.13,1.76,11.42,,,,,,,,,
ITB_A7D,,1.5,2,LIM,1.14,34.85,6.12,18.89,,,,,,,,,
ITB_A7D,,2,3,LIM,1.06,39.85,2.34,12.26,,,,,,,,,
ITB_A7D,,3,4,LIM,0.84,35.82,4.38,15.53,,,,,,,,,
ITB_A7D,,4,4.4,LIM,0.91,15.95,22.01,39.53,,,,,,,,,
ITB_A7D,,4.4,4.7,LIM,0.52,6.9,40.19,42.11,,,,,,,,,
ITB_A7D,,4.7,5,LIM,1.65,29,8.75,29.36,,,,,,,,,
ITB_A7D,,5,5.3,LIM,0.34,7.1,37.5,42.97,,,,,,,,,
ITB_A7D,,5.3,5.5,LIM,1.15,24.56,11.32,31.08,,,,,,,,,
ITB_A7D,,5.5,6,LIM,0.3,6.18,39.4,40.71,,,,,,,,,
ITB_A7D,,6,7,LIM,0.44,6.98,38.31,42.1,,,,,,,,,
ITB_A7D,,7,8,LIM,0.45,7.32,37.21,41.25,,,,,,,,,
ITB_A7D,,8,8.6,LIM,0.42,6.83,40.23,40.7,,,,,,,,,
ITB_A7D,,8.6,9,LIM,0.49,22.81,13.88,33.04,,,,,,,,,
ITB_A7D,,9,9.25,LIM,0.26,29.91,8.4,25.69,,,,,,,,,
ITB_A7D,,9.25,10,SAP,0.79,6.03,40.4,41.2,,,,,,,,,
ITB_A7D,,10,11,SAP,0.74,6.74,42.19,40.65,,,,,,,,,
ITB_A7D,,11,12,SAP,1.78,5.92,42.87,40.4,,,,,,,,,
ITB_A7D,,12,12.3,SAP,1.76,6.67,40.38,42.02,,,,,,,,,
ITB_A7D,,12.3,13,SAP,1.91,16.8,20.06,35.62,,,,,,,,,
ITB_A7D,,13,14,SAP,1.76,11.42,25.04,39.37,,,,,,,,,
ITB_A7D,,14,15,SAP,2.27,18.74,17.04,37.47,,,,,,,,,
ITB_A7D,,15,15.65,SAP,1.94,17.6,18.9,39.36,,,,,,,,,
ITB_A7D,,15.65,16,SAP,1.36,7.13,33.88,41.46,,,,,,,,,
ITB_A7D,,16,17,SAP,1.64,8.46,31.27,40.71,,,,,,,,,
ITB_A7D,,17,18,SAP,2.7,22.88,12.39,37.21,,,,,,,,,
ITB_A7D,,18,18.5,SAP,2.57,17.65,14.64,38.1,,,,,,,,,
ITB_A7D,,18.5,19,SAP,1.25,6.25,39.37,41.65,,,,,,,,,
ITB_A7D,,19,20,SAP,0.7,7.93,37.89,40.3,,,,,,,,,
ITB_A7D,,20,21,SAP,1.21,5.64,41.64,40.9,,,,,,,,,
ITB_A7D,,21,22,SAP,1.27,5.81,40.78,38.06,,,,,,,,,
ITB_A7D,,22,22.4,SAP,1.28,5.81,40.65,41.39,,,,,,,,,
ITB_A7D,,22.4,23.7,SAP,1.75,15.94,18.78,39.93,,,,,,,,,
ITB_A7D,,23.7,24,SAP,2.79,22.35,12.45,34.32,,,,,,,,,
ITB_A7D,,24,25,BRK,0.36,6.57,39.71,42.39,,,,,,,,,
ITB_A7D,,25,26,BRK,0.34,6.68,39.35,41.91,,,,,,,,,
ITB_A7D,,26,27,BRK,1.41,15.18,20.56,40.9,,,,,,,,,
ITB_A7D,,27,28,BRK,0.47,7.03,40.75,41.07,,,,,,,,,
ITB_A7D,,28,29,BRK,0,0,0,0,,,,,,,,,
ITB_A7D1,29,0,1,LIM,0.9,38.08,2.36,11.85,,,ITB_A7D1,,,,,,
ITB_A7D1,,1,1.5,LIM,1.01,41.13,1.76,11.42,,,,,,,,,
ITB_A7D1,,1.5,2,LIM,1.14,34.85,6.12,18.89,,,,,,,,,
ITB_A7D1,,2,3,LIM,1.06,39.85,2.34,12.26,,,,,,,,,
ITB_A7D1,,3,4,LIM,0.84,35.82,4.38,15.53,,,,,,,,,
ITB_A7D1,,4,4.4,LIM,0.91,15.95,22.01,39.53,,,,,,,,,
ITB_A7D1,,4.4,4.7,LIM,0.52,6.9,40.19,42.11,,,,,,,,,
ITB_A7D1,,4.7,5,LIM,1.65,29,8.75,29.36,,,,,,,,,
ITB_A7D1,,5,5.3,LIM,0.34,7.1,37.5,42.97,,,,,,,,,
ITB_A7D1,,5.3,5.5,LIM,1.15,24.56,11.32,31.08,,,,,,,,,
ITB_A7D1,,5.5,6,LIM,0.3,6.18,39.4,40.71,,,,,,,,,
ITB_A7D1,,6,7,LIM,0.44,6.98,38.31,42.1,,,,,,,,,
ITB_A7D1,,7,8,LIM,0.45,7.32,37.21,41.25,,,,,,,,,
ITB_A7D1,,8,8.6,LIM,0.42,6.83,40.23,40.7,,,,,,,,,
ITB_A7D1,,8.6,9,LIM,1.76,22.81,13.88,33.04,,,,,,,,,
ITB_A7D1,,9,9.25,LIM,1.78,29.91,8.4,25.69,,,,,,,,,
ITB_A7D1,,9.25,10,LIM,0.29,6.03,40.4,41.2,,,,,,,,,
